RACE,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,SETTING,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE,LIKES / DISLIKES
AARAKOCRA,ARROW,AETHER,AARDWOLF,3RD EYE,BLACK,,A VILLA,ANCIENTS,ACCESSIBLE,ABSENTMINDED,ABRASIVE,ABSENT FATHER,ABANDONED BUILDINGS
AASIMAR,AXE,AIR,ALLIGATOR,ANKLE,WHITE,CONDUCTOR,ABATTOIR (SLAUGHTERHOUSE),BEAD,ACTIVE,AGGRESSIVE,ABRUPT,ABSENT-MINDED PROFESSOR,ACCESSORIES
ALIEN,BATTLEAXE,CLOUD,ANT,ARM,CYAN,,ABBEY,BELLS,ADAPTABLE,AMBITIOUS,AGONIZING,ACE PILOT,ACTING
ANCIENT ROBOT,BLADE,DARK,ARCTIC WOLF,BACK,BLUE,ABECEDARIAN,"ACADEMY (+ ALCHEMIST, ARCANE, ARTIFICER’S, BARDS, HEALERS, MAGES, MILITARY, NAVAL, ROYAL, SCIENCE)",BOOK,ADMIRABLE,AMUSING,AIMLESS,ACTION HERO,ADVENTURES
ANDROID,BLOWGUN,DEATH,AXOLOTLS,BLOOD,MAGENTA,LEGAL SECRETARY,AN OASIS,BOOTS,ADVENTUROUS,ARTFUL,AIRY,ADDICT,AFFECTION
ANGEL,BŌ (STAFF),EARTH,BADGER,BONE,RED,GENEALOGIST,AQUARIUM,BUBBLES,AGREEABLE,ASCETIC,ALOOF,AMBITIOUS QUEEN,ALCHEMY
BANSHEE,BOLO,ELECTRICITY,BALD EAGLE,CHEST,YELLOW,GRAVE ROBBER/TOMB RAIDER,AQUEDUCT,CACTUS,ALERT,AUTHORITARIAN,AMORAL,ANGRY CHEF,ALCOHOL
BEAST,BOMBS,ENERGY,BASILISK,EAR,GREEN,INTERPRETER,ARCADE,CANDLES,ALLOCENTRIC,BIG-THINKING,ANGRY,ANNOYING NEIGHBOR,ANIMALS
BEHEMOTH,BOOMERANG,FIRE,BAT,ELBOW,UNOFFICIAL PURES,TOYMAKER,ARCHIVES,CARDS,ATTRACTIVE,CHUMMY,ASOCIAL,ANTI-HERO,ANTHROPOLOGY
BOKOBLIN,BOW,GHOST,BEAR,EYE,GOLD,PIRATE,ARCHWAY,CASTLE,BALANCED,CIRCUMSPECT,ASSERTIVE,AUTHORITY FIGURE,ANTIQUES
BUGBEAR,BOW AND ARROW,GRAVITY,BEE,EYESIGHT,ELECTRIC YELLOW,COMPUTER ENGINEER,"ARENA (+ GLADIATORIAL, MUSIC, PERFORMANCE, RACING, SPORTS)",CLOUDS,BENEVOLENT,COMPETITIVE,ASTIGMATIC,BACKSTABBING FRIEND,AQUARIUMS
BULBLIN,CHAIN,HEAL,BEETLE,FINGER,ORANGE,SOLICITOR,ARMY BASE,COMET,BRILLIANT,COMPLEX,BARBARIC,BAD BOY,ARCHERY
BULLYWUG,CLUB,ICE,BLACK BIRD,FOOT,DARK ORANGE,BURGLAR,ART GALLERY,CORAL,CALM,CONFIDENTIAL,BEWILDERED,BAD FRIEND,ARCHITECTURE
CENTAAR (HALF HORSE - HALF ELF),CROSSBOW,LAVA,BLUE GLAUCUS,FOREARM,NEON ORANGE,BARBER,ART MUSEUM,CRYSTAL,CAPABLE,CONSERVATIVE,BOISTEROUS,BARD,ARROGANCE
CENTAUR,DAGGER,LIGHT,BLUE WHALE,FOREHEAD,RED ORANGE,PRIEST,ASYLUM,DUST,CAPTIVATING,CONTRADICTORY,BIZARRE,BEATNIK,ART
CHANGELING,DART,LIGHTNING,BUTTERFLY,HAIR,CRIMSON,LOCK KEEPER,AUCTION HOUSE,FEATHER,CARING,CRISP,BLAND,BELIEVER,ASTROLOGY
CHIMERA,FIST,MAGIC,CAMEL,HAND,NEON RED,CARTWRIGHT,AUDITORIUM,GALAXY,CHALLENGING,CUTE,BLUNT,BENEVOLENT RULER,ASTRONOMY
COBBLE,FLAIL,METAL,CAT,HORNS,MAROON,ANIMAL BREEDER,AVIARY,GAMBLING,CHARISMATIC,DECEPTIVE,BRITTLE,BESTERMAN,BAGS
